Recipe ID	Recipe Name	Ingredients	Instructions	Total GHG	Energy (g)
277	Broccoli and Egg Gratin	Butter: 12, Onion: 50, Salt: 0, Flavor seasoning: 1.325, Egg: 120, Cheese: 0, Wheat flour: 9, Broccoli: 66.6667, Milk: 210, Bacon: 40	['(1) Divide the broccoli into florets, chop the boiled eggs finely, and cut the bacon into 1cm cubes. Cut the onions into thin slices. ', '(2) Heat the butter in a pot, fry the onion from (1), sprinkle with flour, add milk and "consommé" and stir. When it thickens, adjust the taste with salt. ', '(3) Arrange the broccoli from (1) on a heat-resistant plate, sprinkle with water, cover with plastic wrap, and heat in the microwave (600W) for 1 minute and 40 seconds. ', '(4) Arrange the broccoli from (3) in a gratin dish, and top with the boiled eggs and bacon from (1). ', ' (5) Sprinkle (2) on top, top with pizza cheese and bake in a toaster oven until golden brown. ']	392.17	308.97
278	Tofu Steak with Onion Sauce	Other seasoning: 3, Edible oil: 4, Onion: 100, Other alcohol: 7.5, Soy sauce: 18, Flavor seasoning: 0.75, Tofu: 300, Green pepper: 37.5, Broccoli: 60, Bonito flakes/shavings: 0	['(1) Lightly drain the tofu and cut it in half. Sprinkle with ``Hondashi'' and leave for about 5 minutes. Slice the onion thinly and soak in water. ', '(2) Bring A to a boil in a pot, add the onions from (1), turn off the heat and leave for a while to make onion sauce. ', '(3) Divide the broccoli into florets. Cut the bell pepper in half, cut into 1cm pieces, and boil each piece with salt. ', '(4) Heat oil in a frying pan over medium heat, wipe off the water from the tofu from (1) just before frying, and fry both sides until golden brown. ', '(5) Place in a bowl, pour onion sauce from (2), top with bonito flakes, and add broccoli and paprika from (3). ', '*The key to getting crispy pieces is to wipe the tofu dry just before baking. ', '*The spiciness will be less if you slice the onions thinly. You can also enjoy leftover onion sauce with meat dishes. ', '*If using fresh onions, there is no need to expose them to water. ']	266.44	171.14
279	Ratatouille	Other seasoning: 0.25, Other leafy vegetables: 30, Edible oil: 24, Onion: 200, Other root vegetables: 10, Salt: 0, Flavor seasoning: 2.65, Eggplant: 160, Green pepper: 150, Pumpkin: 200, Tomato: 400, Wine: 50	['(1) Cut the zucchini and eggplant into 3cm-wide half-moons, and cut the celery into 8mm-wide pieces. Cut the onion into 2cm cubes, and cut the bell pepper into chunks. ', '(2) Heat the olive oil in a frying pan over low heat, add the onions and garlic from (1), and fry until the oil is coated all over. ', '(3) Add the zucchini, eggplant, and celery from (1) and stir-fry carefully over medium heat until softened. Add the paprika from (1) and stir-fry until it is coated with oil. ', '(4) Roughly crush the tomatoes and add the canned juice, add A, mix quickly, cover and add. ', '(5) Remove the lid and stir gently for 1 to 2 minutes until the mixture becomes glossy, then season with salt and pepper. ']	456.05	127.98
280	Diced Cucumber and Tomato Salad	Other seasoning: 0, Edible oil: 24, Onion: 12, Salt: 2, Tomato: 200, Cucumber: 300	['(1) Peel the cucumber with a peeler and cut into pieces. Cut the tomatoes into 8 wedges, then cut in half horizontally. ', '(2) Add ``Yasashio'' and A to a bowl and mix to make dressing. ', '(3) Place the cucumbers and tomatoes from (1) in a bowl and coat with the dressing from (2). ']	187.19	73.83
281	Turnip Consommé Soup	Water: 300, Other seasoning: 0, Other leafy vegetables: 80, Edible oil: 8, Onion: 50, Other root vegetables: 160, Salt: 0, Flavor seasoning: 2.65	['(1) Cut the turnip into 1cm cubes, parboil the turnip leaves and chop. Cut the onion into 1cm cubes. ', '(2) Heat the olive oil in a pot, add the turnips and onions from (1) and stir-fry. When the oil is completely coated, add A and simmer. ', '(3) Once the vegetables are cooked, season with salt and pepper and add the turnip leaves from (1). ']	293.43	64.42
282	Onion Tomato Salad	Other seasoning: 0, Other leafy vegetables: 0, Edible oil: 24, Onion: 18, Salt: 3, Tomato: 150, Vinegar: 22.5	['(1) Cut the tomatoes into 6 equal pieces vertically, then cut them in half horizontally. Soak the onions in water and drain. ', '(2) Add ``Yasashio'', pepper, and vinegar to a bowl and mix well. Add the oil little by little and mix well to make the dressing. ', '(3) Place the tomatoes from (1) in a bowl, sprinkle with the onions and parsley from (1), and sprinkle with the dressing from (2). ']	79.84	63.91
283	Spinach and Bacon Quiche	Other seasoning: 0, Edible oil: 12, Onion: 50, Salt: 0, Flavor seasoning: 2.65, Egg: 120, Cheese: 12, Spinach: 120, Milk: 52.5, Other dairy products: 100, Bacon: 60	['(1) Cut bacon into 1cm wide pieces, spinach into 4cm long pieces, and thinly slice onions. Preheat the oven to 200℃. ', '(2) Heat oil in a frying pan, fry the bacon from (1), add the onions and spinach from (1) in that order, and fry further. Season to taste with salt and pepper and let cool (out of hours). ', '(3) Mix A in a bowl, add the cooled ingredients from (2), and mix. Place in a heat-resistant container (15cm x 15cm square) and bake in an oven at 200℃ for about 15 minutes. ', '(4) Cut the quiche into desired sizes. ', '*Add your favorite ingredients. The key to baking is that if you insert a bamboo skewer into the center and nothing sticks, it's done. ']	676.37	515.02
284	New Potato German Potato	Other seasoning: 0, Other leafy vegetables: 0, Edible oil: 12, Onion: 200, Salt: 0, Flavor seasoning: 5.3, Potato: 450, Bacon: 50	['(1) Slice the potatoes into 5mm wide rounds, leaving the skin on, and soak in water. Heat in the microwave (600W) for about 8 minutes until a bamboo skewer can be inserted easily. ', '(2) Slice the onion thinly and cut the bacon into 1cm wide pieces. ', '(3) Heat 2 teaspoons of oil in a frying pan, fry both sides of the potatoes from (1) until fragrant, then sprinkle with 1 teaspoon of ``consomme'' and remove. ', '(4) Heat 1 teaspoon of oil in the frying pan from (3), add the onion from (2) and stir-fry quickly, then cover and steam-fry over low heat for 3 minutes. ', '(5) Add the bacon from (2) and 1 teaspoon of ``consomme'' and stir-fry. Add the potatoes from (3) back and stir-fry. Adjust the taste with salt. ', '(6) Place in a bowl and sprinkle with parsley and pepper. ']	194.82	151.09
285	Miso Soup with Onion and Potato	Water: 700, Onion: 100, Flavor seasoning: 3, Potato: 300, Green bean: 40, Miso: 54	['(1) Cut the onions into wedges, and cut the potatoes into 5mm thick half moons. Remove the streaks from the silk pods. ', '(2) Add the potatoes from (1), water, and half of the ``Hondashi'' to a pot and simmer for 7 to 8 minutes. Add the onions and silk pods from (1) and boil. ', '(3) Stir in the miso, add the remaining ``Hondashi'' and turn off the heat just before it boils. ']	143.03	77.34
286	Pumpkin Cheese Gratin	Other seasoning: 0, Edible oil: 6, Onion: 50, Other root vegetables: 2, Other grains: 0.75, Mayonnaise: 60, Pumpkin: 300, Cheese: 40, Milk: 22.5, Bacon: 40	['(1) Wet the pumpkin, wrap it in plastic wrap, heat it in the microwave (600W) for about 5 minutes, and cut it into 5mm thick pieces. ', '(2) Slice the onion thinly and cut the bacon into 5mm wide pieces. ', '(3) Heat oil in a frying pan, fry the onions, bacon, and garlic from (2), then sprinkle with breadcrumbs. ', '(4) Place (1) pumpkin, pepper, (3), mixed A, and cheese in a heat-resistant container in this order. ', '(5) Bake in a toaster oven until golden brown. ']	492.34	435.99
287	Addictive! Infinite Enoki Mushrooms	Edible oil: 4.5, Other dried food/seaweed: 9, Carrot: 30, Dried soup: 3.75, Spinach: 25, Enoki: 200	['(1) Cut the roots of the enoki mushrooms and cut them in half lengthwise. Slice the carrots and cut the spinach into chunks. ', '(2) Put the enoki mushrooms, carrots, and spinach from (1) into a heat-resistant container, cover with plastic wrap, heat in the microwave (600W) for 2 minutes, add A, and mix. ']	232.73	83.40
288	Spinach and Carrot White Salad	Sugar: 4.5, Salt: 0, Soy sauce: 18, Flavor seasoning: 1, Other dried food/seaweed: 9, Carrot: 30, Tofu: 150, Spinach: 200	['(1) Wrap the tofu in kitchen paper, put a weight on it, and drain for about 15 minutes (out of hours). ', '(2) Boil water in a pot, add spinach and boil for about 1 minute, soak in water, squeeze out the water, and cut into 3cm lengths. Slice the carrots into 2cm lengths and parboil. ', '(3) Place the tofu from (1) in a bowl and mix with a whisk. When it becomes smooth, add A and mix, then add the spinach and carrots from (2). ']	389.24	105.83
289	Dried Radish with Sesame Mayo Salad	Soy sauce: 6, Flavor seasoning: 3, Other dried food/seaweed: 39, Carrot: 40, Mayonnaise: 30, Cucumber: 50	['(1) Soak the kiriboshi daikon radish in water for about 10 minutes, drain it, and cut it into easy-to-eat lengths. ', '(2) Slice the carrots and cucumbers, rub them with a little salt (not listed), and when they soften, drain well. ', '(3) Put A into a bowl and mix. Add the dried radish from (1) while loosening it, then add the carrots and cucumber from (2) and mix well. ']	146.15	92.58
290	Komatsuna (Japanese Mustard Spinach) and Carrot Sesame Salad	Other leafy vegetables: 150, Sugar: 1.5, Soy sauce: 2, Flavor seasoning: 1.5, Other dried food/seaweed: 9, Carrot: 30	['(1) Boil the komatsuna quickly, soak in cold water, squeeze out the water, and cut into 4-5cm lengths. Cut the carrots into thin strips. ', '(2) Put A into a bowl, mix, and add the komatsuna and carrots from (1). ']	231.56	45.95
291	Whole Chicken Namul	Edible oil: 3, Carrot: 40, Dried soup: 7.5, Bean sprout: 250, Cucumber: 33.3333	['(1) Finely chop carrots and cucumbers. ', '(2) Place the bean sprouts and carrots from (1) in a heat-resistant bowl, cover with plastic wrap, and heat in the microwave (600W) for 3 minutes. ', '(3) Once the fever has subsided, add the cucumbers from (1) and A. ']	55.49	28.66
292	Hearty Vegetable Chinese Style Glass Noodle Soup	Water: 300, Other seasoning: 0, Other leafy vegetables: 20, Other dried food/seaweed: 20, Carrot: 30, Dried soup: 2.5, Sauce: 6, Bean sprout: 40	['(1) Cut the vermicelli in half using kitchen scissors. Cut the carrots into strips, and cut the chives into chunks. ', '(2) Put the vermicelli and carrots from A and (1) into a pot and heat. When the vermicelli becomes soft, add the chives and bean sprouts from (1) and simmer. Once cooked, season with oyster sauce. ', '(3) Place in a bowl and sprinkle with black pepper. ']	198.95	50.01
293	Bean Sprout and Carrot Namul	Edible oil: 1.5, Carrot: 10, Dried soup: 0.625, Bean sprout: 60	['(1) Cut the carrots into thin strips. ', '(2) Put the sprouts, carrots from (1), and A into a heat-resistant container, cover with plastic wrap, and heat in the microwave (600W) for 1 minute. ']	21.32	16.75
294	Kinpira Gobo with White Sesame	Water: 30, Sugar: 9, Edible oil: 9, Other alcohol: 30, Soy sauce: 18, Burdock: 250, Flavor seasoning: 1.5, Other dried food/seaweed: 0, Carrot: 50, Other vegetables: 0.25	['(1) Cut the burdock and carrot into sticks 4cm long and 5mm square. ', '(2) Heat sesame oil in a frying pan, add the burdock and carrots from (1) and stir-fry. ', '(3) When the oil is coated, add A, cover, and simmer until the vegetables are soft. Add B, stir-fry until the liquid evaporates, sprinkle with sesame seeds and mix well. ']	272.69	153.61
295	Kinpira with Carrots and Eryngii Mushrooms	Other seasoning: 6, Sugar: 1.5, Edible oil: 3, Soy sauce: 6, Flavor seasoning: 1.5, Carrot: 87.5, Other mushroom: 50	['(1) Cut the carrots into thin strips, and cut the king king mushrooms in half lengthwise, then thinly slice them. ', '(2) Heat sesame oil in a frying pan and fry the carrots and king king mushrooms from (1). ', '(3) Add A in order and season. ']	110.22	49.65
296	Whole Chicken Soup Dumplings	Water: 900, Edible oil: 3, Green onion: 100, Carrot: 40, Dried soup: 15, Dumpling: 300	['(1) Slice the green onions diagonally and cut the carrots into strips. ', '(2) Put A into a pot and bring to a boil. Add the green onions and carrots from (1) and bring to a quick simmer. ', '(3) Add the frozen gyoza and boil for about 2 minutes, then add the sesame oil. ']	210.94	172.33
297	Carrot Sesame Mayo Salad	Salt: 0, Flavor seasoning: 0.75, Other dried food/seaweed: 9, Carrot: 70, Mayonnaise: 30	['(1) Slice the carrots vertically and then into thin slices. Place in a bowl, add ``Hondashi'' and salt, sprinkle well, and leave for 5 minutes until softened. ', '(2) ``Pure Select Mayonnaise'', add sesame seeds. ']	186.90	280.50
298	Gobo (Burdock Root) Salad	Other leafy vegetables: 50, Salt: 0, Soy sauce: 6, Burdock: 100, Flavor seasoning: 1.5, Carrot: 50, Mayonnaise: 30	['(1) Wash the burdock, cut it in half lengthwise, then thinly slice diagonally, soak in water to remove the scum, and cut the mizuna into 4cm lengths. ', '(2) Combine vegetables from (1) and mix in A. ', '*The key to making it delicious is to drain the ingredients well and mix them just before eating. ']	242.66	143.81
299	Kenchin Soup	Water: 400, Other seasoning: 3, Edible oil: 3, Salt: 1.25, Soy sauce: 3, Burdock: 15, Flavor seasoning: 2, Green onion: 0, Carrot: 20, Tofu: 100, White Radish: 60, Konjac: 62.5	['(1) Wrap the tofu in kitchen paper and leave it for about 30 minutes to drain. Cut the daikon radish and carrot into 3-4 mm wide pieces. ', '(2) Cut the burdock root into cubes, soak in water for about 5 minutes, and drain. Tear the konjac with a spoon, rub it with a little salt (not listed), and wash it with water. Boil the water and once it boils, boil it over medium heat for about 5 minutes and drain the water. ', '(3) Heat sesame oil in a pot over medium heat, add all ingredients except tofu and fry until coated with oil. ', '(4) Add A, and when it comes to a boil, remove the scum, cover and simmer for about 10 minutes until heated through. Tear the tofu from (1) into bite-sized pieces, add B and boil. ', '(5) Place in a bowl and sprinkle with green onions. ']	185.01	69.52
300	Houtou (Noodle Soup)	Water: 1400, Other seasoning: 0, Flavor seasoning: 12, Green onion: 100, Carrot: 87.5, Fried tofu: 60, White Radish: 80, Pumpkin: 300, Miso: 50, Dried Mushroom: 60, Chinese cabbage: 200, Other noodles: 400	['(1) Cut the Chinese cabbage into 1.5cm wide pieces, and cut the carrots and radish into 5mm wide pieces. Slice the shiitake mushrooms into 5mm-wide slices, and cut the green onions into 3-4cm-long diagonal slices. Cut the fried tofu into 1cm wide pieces. ', '(2) Cut the pumpkin into 2cm cubes, place in a heat-resistant dish, cover with plastic wrap, and heat in the microwave (600W) for about 4 minutes. ', '(3) Pour a certain amount of water into a pot, heat it, and just before it boils, add the ``Hondashi'', and when it boils, add (1) and simmer for 4 to 5 minutes. ', '(4) Add the hoto while loosening it, then add the pumpkin and simmer for about 5 minutes. ', '(5) When the core of hoto is gone, add A to adjust the taste. ', '(6) Place in a bowl and sprinkle with shichimi chili pepper if desired. ', '*Local cuisine of Yamanashi Prefecture', '*Miso is your favorite miso. Awase miso also goes well. ',' * ``Hondashi'' can also be deliciously replaced with ``Hondashi Kanohara Iriko Dashi''. ']	793.51	390.46
301	Dried Radish Stew	Water: 400, Sugar: 6, Edible oil: 8, Soy sauce: 27, Flavor seasoning: 3, Other dried food/seaweed: 40, Carrot: 40, Fried tofu: 30	['(1) Soak the kiriboshi daikon in plenty of water for 10 minutes, then squeeze out the water and cut into 4-5cm lengths. ', '(2) Cut the fried tofu in half lengthwise and into 5mm wide pieces. Cut the carrots into 4cm long pieces. ', '(3) Heat oil in a pot, stir-fry the carrots from (2) and the dried radish from (1) in that order, then add the fried tofu from A and (2), cover with a drop lid, and simmer over medium heat for 5 minutes. ', '(4) Add usukuchi soy sauce and simmer for another 10 to 15 minutes. ']	194.01	89.01
302	Hijiki Seaweed Stew	Water: 400, Sugar: 18, Edible oil: 12, Soy sauce: 45, Flavor seasoning: 3, Other dried food/seaweed: 35, Carrot: 40, Fried tofu: 30	['(1) Wash the hijiki quickly, soak it in plenty of water for 20 to 30 minutes, drain it in a colander, and if it's long, cut it into easy-to-eat lengths. ', '(2) Cut the carrots into 4cm-long strips, and cut the fried tofu in half vertically and cut into 5mm-wide strips. ', '(3) Heat oil in a pot, quickly fry the hijiki from (1) and the carrots from (2), add the fried tofu from A and (2), cover with a drop lid, and simmer over medium heat for 5 minutes. ', '(4) Add soy sauce and simmer for another 20 minutes. ']	205.82	102.02
303	Plain Omelette	Other seasoning: 0, Edible oil: 12, Flavor seasoning: 1.325, Carrot: 0, Egg: 180, Ketchup: 0, Broccoli: 0, Milk: 45	['(1) Beat the eggs in a bowl, add A and mix. ', '(2) Heat 1/2 tablespoon of oil in a frying pan, then pour in half of the egg mixture from (1) all at once and stir well. When it's half-cooked, fold it in half toward you, shape it into a leaf, and put it in a bowl. ', '(3) Add 1/2 tablespoon of oil to the frying pan from (2) and fry the rest in the same way. ', '(4) Add ketchup to taste and add boiled broccoli and carrots. ']	105.66	181.49
304	Kinpira Gobo	Water: 100, Other seasoning: 18, Sugar: 4.5, Edible oil: 9, Soy sauce: 18, Burdock: 150, Flavor seasoning: 1.5, Carrot: 58.3333, Other vegetables: 0.25	['(1) Cut the burdock and carrots into thin pieces. Remove the seeds from the red pepper and cut into small pieces. ', '(2) Heat sesame oil in a pot, add the burdock, carrots, red chili pepper, and half of the ``hondashi'' from (1) and stir-fry. ', '(3) When the vegetables are soft, add water, the remaining ``Hondashi'' and A, and simmer while stirring until the liquid evaporates. ']	94.16	64.29
305	Potato and Bell Pepper Stir-fry with Oyster Sauce	Other seasoning: 0, Edible oil: 8, Other alcohol: 5, Salt: 0, Carrot: 30, Potato: 150, Sauce: 6, Green pepper: 35	['(1) Cut the potatoes into thick slices, quickly soak in water and drain. ', '(2) Slice the carrot into 2mm thick rounds, then cut into thick strips. Cut the peppers in half lengthwise, then cut them horizontally into 2mm width pieces. ', '(3) Heat oil in a frying pan and fry the potatoes in (1) and the carrots and green peppers in (2) in that order. When the potatoes are translucent, add A and quickly stir-fry. ', '*Slice carrots into rounds and then into thin strips to avoid waste. ']	122.11	86.69
306	Sautéed U no Hana (Young Shoots of Fat Hen)	Water: 200, Other seasoning: 36, Sugar: 9, Edible oil: 12, Other alcohol: 15, Soy sauce: 54, Flavor seasoning: 1.5, Green onion: 50, Carrot: 87.5, Other soy products: 200, Dried Mushroom: 40, Chikuwa: 60	['(1) Cut the chikuwa in half lengthwise and slice thinly. Cut the carrots into 2cm lengths and 5mm widths. Remove the stems from the shiitake mushrooms, halve them lengthwise and slice them thinly, and cut the green onions in half lengthwise as well and thinly slice them. ', '(2) Heat oil in a pan and fry the chikuwa, carrots, and shiitake mushrooms from (1) in that order. When softened, add okara and stir well, sprinkle with sake, add A and stir-fry. ', '(3) Cover and simmer for 6 to 8 minutes, stirring halfway through, then add the green onions from (1) and bring to a boil. ', '*The amount of water contained varies depending on the okara. Please adjust the amount of water added accordingly. ']	432.95	145.51
307	Wakame Seaweed and Bean Sprout Namul	Edible oil: 13.5, Other root vegetables: 1, Salt: 0, Dried soup: 2.5, Bean sprout: 125, Seaweed: 2	['(1) Soak the wakame in water and cut into bite-sized pieces. Boil the bean sprouts quickly and drain the water. ', '(2) Mix A in a bowl, then add the wakame and bean sprouts from (1). ']	40.53	80.05
308	Bean Sprout Consommé Soup	Water: 300, Other seasoning: 0, Other leafy vegetables: 0, Edible oil: 4, Flavor seasoning: 5.3, Bean sprout: 70, Bacon: 50	['(1) Remove the roots from the bean sprouts. Cut the bacon into 1cm wide pieces. ', '(2) Heat oil in a pan and fry the bacon from (1). When the fat releases, add the bean sprouts from (1) and stir-fry. Sprinkle with pepper, then add A and simmer. ', '(3) Place in a bowl and sprinkle with parsley. ']	156.83	133.64
309	Bean Sprout and Chikuwa Salad with Sesame Vinegar	Other seasoning: 0, Sugar: 3, Edible oil: 3, Salt: 1.25, Soy sauce: 18, Other dried food/seaweed: 27, Bean sprout: 250, Vinegar: 60, Cucumber: 100, Chikuwa: 90	['(1) Remove the roots of the bean sprouts, quickly dip them in boiling water, and drain them in a colander to remove any rough heat. Cut the chikuwa into small pieces. Cut the cucumber in half lengthwise and thinly slice diagonally. ', '(2) Mix A in a bowl to make sesame vinegar. ', '(3) Just before eating, add the bean sprouts, chikuwa, and cucumber from (1) to the sesame vinegar from (2) and stir well. ']	241.65	106.00
310	Shiitake Mushroom and Bean Sprout Miso Soup in Microwave	Water: 150, Other leafy vegetables: 0, Flavor seasoning: 1, Bean sprout: 25, Miso: 12, Mushroom: 25	['(1) Cut the roots of the shimeji mushrooms and separate them into small clusters. ', '(2) Put the shimeji mushrooms from (1), bean sprouts, a certain amount of water, and miso into a heat-resistant cup and sprinkle with ``Hondashi''. ', '(3) Without wrapping, heat in the microwave (600W) for 2 minutes and 30 seconds. Remove, mix gently, and top with torn shellfish. ', '*The bowl will be hot after heating in the microwave, so please be careful when taking it out. ']	84.64	38.86
311	Potato and Spinach Gratin with Tofu Cream	Other seasoning: 0, Butter: 10, Salt: 1.25, Flavor seasoning: 2.65, Potato: 200, Tofu: 200, Other grains: 10, Cheese: 30, Spinach: 100, Milk: 105	['(1) Wrap the tofu in kitchen paper, place it in a heat-resistant container, and heat it in the microwave (600W) for 2 to 3 minutes without wrapping it, then wipe off the moisture. Cut the spinach into chunks. ', '(2) Put the tofu from (1) and A into a mixer and mix until smooth. ', '(3) Slice the potatoes into 3mm-wide slices, soak in water, and drain. Place in a heatproof bowl, cover with plastic wrap, and heat in the microwave for about 3 minutes. ', '(4) Put the butter in a frying pan and heat it. When the butter melts, add the spinach from (1) and stir-fry. Once it softens, reduce the heat to low, add the consommé and (2), mix well, and turn off the heat. ', ' (5) Transfer (4) to a heat-resistant container, arrange the potatoes from (3), sprinkle with breadcrumbs, sprinkle with cheese, and bake in a toaster oven (1000W) for about 7 to 8 minutes until golden brown. ']	492.02	251.01
312	Instant German Potato	Other seasoning: 4, Potato: 270, Bacon: 30	['(1) Peel the potatoes, cut them into small bite-sized pieces, soak in water, and drain. Cut the bacon into 1cm wide pieces. ', '(2) Place the potatoes from (1) in a heat-resistant dish, cover with plastic wrap, and heat in the microwave (600W) for 3 minutes. ', '(3) Take it out, add the bacon and ``flavor paste'' from (1), wrap it again, and heat it in the microwave for 30 seconds. ']	175.71	128.22
313	Potato Mochi with Cheese	Butter: 5, Salt: 1.25, Other dried food/seaweed: 31.5, Potato: 270, Mayonnaise: 60, Cheese: 36	['(1) Boil the potatoes with their skins on until they are soft, then peel them while still hot, put them in a bowl, and mash them with a masher. Divide each piece of cheese into 5 equal parts to make 10 pieces. ', '(2) Add A, mix, divide into 10 equal parts, and shape into oval shapes. Divide into pairs, place two pieces of cheese from (1) in between, and pinch around the edges to close. ', '(3) Heat butter in a frying pan, add (2) and fry on both sides until golden brown. ']	195.44	155.21
314	Potato and Cheese Salad	Other seasoning: 0, Salt: 0, Potato: 300, Mayonnaise: 10, Cheese: 50	['(1) Cut the potatoes into 8 equal pieces, leaving the skin on. Cut the cheese into dice. ', '(2) Place the potatoes from (1) in a heat-resistant dish, cover loosely with plastic wrap, and heat in the microwave (600W) for 2 minutes to remove the rough heat. ', '(3) Peel the potatoes from (2) and put them in a bowl, add the cheese from (1) and ``Pure Select Mayonnaise'', mix, and sprinkle with salt and pepper. ']	271.76	187.44
315	Simple Microwave Buttered Potato	Other seasoning: 0, Butter: 0, Potato: 300	['(1) Wash the potatoes well, drain them, and wrap them in plastic wrap with the skin on. Heat in the microwave (600W) for about 5 minutes until a bamboo skewer comes through easily. ', '(2) Remove the plastic wrap and place in a bowl, make a cross-shaped cut, top with butter, and sprinkle with ``Ajinomoto?''. ']	131.54	75.73
316	German Potato	Other seasoning: 0, Edible oil: 12, Salt: 0, Flavor seasoning: 5.3, Potato: 300, Bacon: 60	['(1) Cut the potatoes into 3cm wide pieces, expose to water, and drain. Cut the bacon into 5mm wide and 2cm long pieces. ', '(2) Boil the potatoes from (1) in a pot with enough water to cover them. Once boiled, drain the water, shake the pot to dust with flour, and sprinkle with consommé. ', '(3) Add olive oil and the bacon from (1) to a frying pan and fry slowly over low heat. When the surface becomes crispy, add the potatoes from (2) and stir-fry, seasoning with salt and black pepper. ']	147.94	126.89
317	Potato Galette with Dashi Flavor	Edible oil: 10, Flavor seasoning: 3, Green onion: 0, Potato: 300, Dried seaweed: 0, Bonito flakes/shavings: 0	['(1) Cut the potatoes into 1mm-wide pieces. (You may also use a thin slicer.)', '(2) Add the potatoes from (1), ``Hondashi'', and 1/2 tablespoon of oil to a bowl and mix. ', '(3) Heat 1 teaspoon of oil in a fluororesin-treated frying pan, spread (2) in a circle, and fry both sides. When the surface is nicely browned and crispy, remove it onto kitchen paper to drain the oil. ', '(4) Cut into bite-sized pieces and place on a plate, sprinkle with chopped nori, dried flakes, and small onions. ']	135.63	123.43
318	Peppered Potato	Other seasoning: 0, Butter: 5, Salt: 0, Potato: 150, Dried soup: 0	['(1) Cut the potatoes into 8 equal pieces, leaving the skin on. Wrap in plastic wrap and heat in the microwave (600W) for 2 to 3 minutes until a bamboo skewer comes out clean. ', '(2) Put it in a bowl while it's still hot, add ``Whole Chicken Soup'' and A. ']	167.21	110.73
319	Potato and Broccoli Miso Cheese Grilling	Other seasoning: 9, Potato: 150, Miso: 18, Cheese: 20, Broccoli: 60	['(1) Wash the potatoes, wrap them in plastic wrap with the skin on, and heat in the microwave (600W) for 1 minute. Turn it over and cook for another 3 minutes until it becomes soft, then put it in a bowl and mash it roughly with a fork. ', '(2) Cut the broccoli into 2-3 equal parts, place in a heat-resistant container, cover with plastic wrap, heat in the microwave for 1 minute, and add to (1). ', '(3) Put A into a bowl and mix. ', '(4) Transfer (2) to a heat-resistant container, sprinkle with cheese (3), and bake in a toaster oven for about 2 minutes until the cheese melts. ']	198.16	103.15
320	Simple Microwave Bell Pepper Umami Namul	Other seasoning: 0.2, Edible oil: 9, Salt: 3.33333, Other dried food/seaweed: 9, Green pepper: 140	['(1) Cut the peppers into 1cm-wide strips. ', '(2) Put the green peppers from (1) in a heat-resistant container, cover with plastic wrap, heat in the microwave (600W) for about 50 seconds, add A and stir. ']	208.09	79.40
321	Broccoli and Shiitake Mushroom with Bonito Flakes and Mayo	Soy sauce: 0, Flavor seasoning: 0, Mayonnaise: 5, Mushroom: 30, Broccoli: 30, Bonito flakes/shavings: 0	['(1) Divide the broccoli and shimeji mushrooms into small florets. Place in a heat-resistant container, cover with plastic wrap, and heat in the microwave (600W) for about 1 minute. ', '(2) Remove from fever and cover with "Pure Select Mayonnaise" and A. ']	109.30	48.39
322	Japanese Style Mushroom Pasta	Water: 60, Edible oil: 12, Other root vegetables: 5, Flavor seasoning: 8, Green onion: 200, Mushroom: 50, Other mushroom: 50, Spaghetti: 100, Bacon: 20	['(1) Divide the shimeji mushrooms into florets and cut the king king mushrooms into bite-sized pieces. Cut the bacon into 1cm wide strips and mince the garlic. Cut the onion into small pieces. ', '(2) Boil the spaghetti in boiling salted water for the specified time, then drain in a colander. Reserve a little of the boiled water. ', '(3) Add olive oil and the garlic and bacon from (1) to a frying pan and heat over low heat. When the garlic smells, add the shimeji mushrooms and king mushrooms from (1) and stir-fry. ', '(4) Add 4 tablespoons of the spaghetti and boiling water from (2), the small onions from (1), tear the dashi pack and add the contents, and stir-fry well. ']	888.18	629.26
323	Crispy Watercress Simmered Salad	Water: 200, Other seasoning: 27, Other leafy vegetables: 150, Soy sauce: 27, Flavor seasoning: 1.5, Fried tofu: 30, Mushroom: 30	['(1) Cut mizuna into 3cm lengths. Pour boiling water over the fried tofu to remove the oil, cut it in half lengthwise, and then cut it into strips. Divide the shimeji mushrooms into florets. ', '(2) Put A into a pot, heat, and bring to a boil. Add the mizuna, fried tofu, and shimeji mushrooms from (1) and bring to a boil. ']	282.55	116.49
324	Milk Soup Vegetables with Mushroom and Spinach	Water: 200, Flavor seasoning: 5.3, Mushroom: 100, Spinach: 100, Milk: 200, Bacon: 25	['(1) Cut the base of the shimeji mushrooms and separate them into small clusters. Cut the bacon into bite-sized pieces. ', '(2) Wash the spinach, wrap it in plastic wrap while it is dry, and heat it in the microwave (600W) for 40 seconds. Rinse with cold water, squeeze out the water, and cut into 4cm lengths. ', '(3) Put the shimeji mushrooms, bacon, and A from (1) into a pot and heat. Once it comes to a boil, reduce the heat to low and simmer for about 2 minutes. Add spinach and milk from (2) and bring to a boil. ']	348.17	151.17
